datetime,timestamp_ms,value,sensor
2025-12-24 19:21:06,1766604066000,24.39,sensor:temperature
2025-12-24 19:21:13,1766604073000,24.38,sensor:temperature
2025-12-24 19:21:19,1766604079000,24.34,sensor:temperature
2025-12-24 19:21:26,1766604086000,24.34,sensor:temperature
2025-12-24 19:21:33,1766604093000,24.33,sensor:temperature
2025-12-24 19:21:40,1766604100000,24.33,sensor:temperature
2025-12-24 19:21:47,1766604107000,24.31,sensor:temperature
2025-12-24 19:21:53,1766604113000,24.32,sensor:temperature
2025-12-24 19:22:00,1766604120000,24.3,sensor:temperature
2025-12-24 19:22:07,1766604127000,24.28,sensor:temperature
2025-12-24 19:22:13,1766604133000,24.28,sensor:temperature
2025-12-24 19:22:20,1766604140000,24.28,sensor:temperature
2025-12-24 19:22:27,1766604147000,24.28,sensor:temperature
2025-12-24 19:22:34,1766604154000,24.26,sensor:temperature
2025-12-24 19:22:41,1766604161000,24.25,sensor:temperature
2025-12-24 19:22:47,1766604167000,24.25,sensor:temperature
2025-12-24 19:22:53,1766604173000,24.25,sensor:temperature
2025-12-24 19:23:00,1766604180000,24.24,sensor:temperature
2025-12-24 19:23:07,1766604187000,24.25,sensor:temperature
2025-12-24 19:23:13,1766604193000,24.25,sensor:temperature
2025-12-24 19:23:19,1766604199000,24.26,sensor:temperature
2025-12-24 19:23:25,1766604205000,24.24,sensor:temperature
2025-12-24 19:23:32,1766604212000,24.25,sensor:temperature
2025-12-24 19:23:39,1766604219000,24.24,sensor:temperature
2025-12-24 19:23:46,1766604226000,24.24,sensor:temperature
2025-12-24 19:23:52,1766604232000,24.23,sensor:temperature
2025-12-24 19:23:59,1766604239000,24.23,sensor:temperature
2025-12-24 19:24:06,1766604246000,24.23,sensor:temperature
2025-12-24 19:24:12,1766604252000,24.21,sensor:temperature
2025-12-24 19:24:19,1766604259000,24.21,sensor:temperature
2025-12-24 19:24:26,1766604266000,24.21,sensor:temperature
2025-12-24 19:24:33,1766604273000,24.2,sensor:temperature
2025-12-24 19:24:40,1766604280000,24.21,sensor:temperature
2025-12-24 19:24:46,1766604286000,24.19,sensor:temperature
2025-12-24 19:24:53,1766604293000,24.19,sensor:temperature
2025-12-24 19:25:00,1766604300000,24.19,sensor:temperature
2025-12-24 19:25:07,1766604307000,24.19,sensor:temperature
2025-12-24 19:25:12,1766604312000,24.19,sensor:temperature
2025-12-24 19:25:18,1766604318000,24.2,sensor:temperature
2025-12-24 19:25:25,1766604325000,24.19,sensor:temperature
2025-12-24 19:25:32,1766604332000,24.2,sensor:temperature
2025-12-24 19:25:38,1766604338000,24.2,sensor:temperature
2025-12-24 19:25:45,1766604345000,24.19,sensor:temperature
2025-12-24 19:25:52,1766604352000,24.19,sensor:temperature
2025-12-24 19:25:59,1766604359000,24.19,sensor:temperature
2025-12-24 19:26:07,1766604367000,24.19,sensor:temperature
2025-12-24 19:26:14,1766604374000,24.19,sensor:temperature
2025-12-24 19:26:21,1766604381000,24.2,sensor:temperature
2025-12-24 19:26:27,1766604387000,24.2,sensor:temperature
2025-12-24 19:26:35,1766604395000,24.2,sensor:temperature
2025-12-24 19:26:41,1766604401000,24.2,sensor:temperature
2025-12-24 19:26:48,1766604408000,24.2,sensor:temperature
2025-12-24 19:26:55,1766604415000,24.18,sensor:temperature
2025-12-24 19:27:02,1766604422000,24.18,sensor:temperature
2025-12-24 19:27:09,1766604429000,24.16,sensor:temperature
2025-12-24 19:27:15,1766604435000,24.17,sensor:temperature
2025-12-24 19:27:21,1766604441000,24.16,sensor:temperature
2025-12-24 19:27:27,1766604447000,24.14,sensor:temperature
2025-12-24 19:27:34,1766604454000,24.15,sensor:temperature
2025-12-24 19:27:41,1766604461000,24.14,sensor:temperature
2025-12-24 19:27:48,1766604468000,24.13,sensor:temperature
2025-12-24 19:27:54,1766604474000,24.12,sensor:temperature
2025-12-24 19:28:01,1766604481000,24.12,sensor:temperature
2025-12-24 19:28:08,1766604488000,24.09,sensor:temperature
2025-12-24 19:28:14,1766604494000,24.1,sensor:temperature
2025-12-24 19:28:21,1766604501000,24.11,sensor:temperature
2025-12-24 19:28:28,1766604508000,24.12,sensor:temperature
2025-12-24 19:28:34,1766604514000,24.11,sensor:temperature
2025-12-24 19:28:41,1766604521000,24.11,sensor:temperature
2025-12-24 19:28:48,1766604528000,24.11,sensor:temperature
2025-12-24 19:28:55,1766604535000,24.12,sensor:temperature
2025-12-24 19:29:00,1766604540000,24.11,sensor:temperature
2025-12-24 19:29:06,1766604546000,24.11,sensor:temperature
2025-12-24 19:29:12,1766604552000,24.12,sensor:temperature
2025-12-24 19:29:18,1766604558000,24.13,sensor:temperature
2025-12-24 19:29:25,1766604565000,24.14,sensor:temperature
2025-12-24 19:29:32,1766604572000,24.14,sensor:temperature
2025-12-24 19:29:38,1766604578000,24.14,sensor:temperature
2025-12-24 19:29:45,1766604585000,24.14,sensor:temperature
2025-12-24 19:29:51,1766604591000,24.13,sensor:temperature
2025-12-24 19:29:58,1766604598000,24.13,sensor:temperature
2025-12-24 19:30:04,1766604604000,24.14,sensor:temperature
2025-12-24 19:30:11,1766604611000,24.15,sensor:temperature
2025-12-24 19:30:18,1766604618000,24.16,sensor:temperature
2025-12-24 19:30:25,1766604625000,24.15,sensor:temperature
2025-12-24 19:30:31,1766604631000,24.15,sensor:temperature
2025-12-24 19:30:37,1766604637000,24.13,sensor:temperature
2025-12-24 19:30:44,1766604644000,24.12,sensor:temperature
2025-12-24 19:30:51,1766604651000,24.13,sensor:temperature
2025-12-24 19:30:58,1766604658000,24.1,sensor:temperature
2025-12-24 19:31:04,1766604664000,24.11,sensor:temperature
2025-12-24 19:31:10,1766604670000,24.08,sensor:temperature
2025-12-24 19:31:16,1766604676000,24.09,sensor:temperature
2025-12-24 19:31:23,1766604683000,24.09,sensor:temperature
2025-12-24 19:31:29,1766604689000,24.08,sensor:temperature
2025-12-24 19:31:36,1766604696000,24.08,sensor:temperature
2025-12-24 19:31:42,1766604702000,24.06,sensor:temperature
2025-12-24 19:31:49,1766604709000,24.06,sensor:temperature
2025-12-24 19:31:56,1766604716000,24.06,sensor:temperature
2025-12-24 19:32:02,1766604722000,24.04,sensor:temperature
2025-12-24 19:32:10,1766604730000,24.03,sensor:temperature
2025-12-24 19:32:17,1766604737000,24.03,sensor:temperature
2025-12-24 19:32:23,1766604743000,24.02,sensor:temperature
2025-12-24 19:32:29,1766604749000,24.02,sensor:temperature
2025-12-24 19:32:36,1766604756000,24.01,sensor:temperature
2025-12-24 19:32:43,1766604763000,24.01,sensor:temperature
2025-12-24 19:32:50,1766604770000,24.02,sensor:temperature
2025-12-24 19:32:56,1766604776000,24.01,sensor:temperature
2025-12-24 19:33:03,1766604783000,24.01,sensor:temperature
2025-12-24 19:33:09,1766604789000,24.03,sensor:temperature
2025-12-24 19:33:16,1766604796000,24.02,sensor:temperature
2025-12-24 19:33:23,1766604803000,24.03,sensor:temperature
2025-12-24 19:33:30,1766604810000,24.02,sensor:temperature
2025-12-24 19:33:37,1766604817000,24.02,sensor:temperature
2025-12-24 19:33:43,1766604823000,24.03,sensor:temperature
2025-12-24 19:33:50,1766604830000,24.02,sensor:temperature
2025-12-24 19:33:57,1766604837000,24.01,sensor:temperature
2025-12-24 19:34:04,1766604844000,24.01,sensor:temperature
2025-12-24 19:34:11,1766604851000,24.0,sensor:temperature
2025-12-24 19:34:18,1766604858000,23.99,sensor:temperature
2025-12-24 19:34:25,1766604865000,23.99,sensor:temperature
2025-12-24 19:34:31,1766604871000,24.0,sensor:temperature
2025-12-24 19:34:38,1766604878000,24.0,sensor:temperature
2025-12-24 19:34:45,1766604885000,23.98,sensor:temperature
2025-12-24 19:34:51,1766604891000,23.98,sensor:temperature
2025-12-24 19:34:58,1766604898000,23.97,sensor:temperature
2025-12-24 19:35:05,1766604905000,23.97,sensor:temperature
2025-12-24 19:35:11,1766604911000,23.96,sensor:temperature
2025-12-24 19:35:18,1766604918000,23.95,sensor:temperature
2025-12-24 19:35:25,1766604925000,23.95,sensor:temperature
2025-12-24 19:35:32,1766604932000,23.96,sensor:temperature
2025-12-24 19:35:38,1766604938000,23.96,sensor:temperature
2025-12-24 19:35:45,1766604945000,23.95,sensor:temperature
2025-12-24 19:35:52,1766604952000,23.95,sensor:temperature
2025-12-24 19:35:58,1766604958000,23.94,sensor:temperature
2025-12-24 19:36:05,1766604965000,23.94,sensor:temperature
2025-12-24 19:36:12,1766604972000,23.94,sensor:temperature
2025-12-24 19:36:19,1766604979000,23.94,sensor:temperature
2025-12-24 19:36:26,1766604986000,23.92,sensor:temperature
2025-12-24 19:36:33,1766604993000,23.92,sensor:temperature
2025-12-24 19:36:39,1766604999000,23.92,sensor:temperature
2025-12-24 19:36:46,1766605006000,23.92,sensor:temperature
2025-12-24 19:36:52,1766605012000,23.94,sensor:temperature
2025-12-24 19:37:00,1766605020000,23.91,sensor:temperature
2025-12-24 19:37:06,1766605026000,23.9,sensor:temperature
2025-12-24 19:37:12,1766605032000,23.9,sensor:temperature
2025-12-24 21:22:01,1766611321000,23.95,sensor:temperature
2025-12-24 21:22:07,1766611327000,23.95,sensor:temperature
2025-12-24 21:22:30,1766611350000,23.95,sensor:temperature
2025-12-24 21:22:39,1766611359000,23.96,sensor:temperature
2025-12-24 21:22:45,1766611365000,23.96,sensor:temperature
2025-12-24 21:22:51,1766611371000,23.95,sensor:temperature
2025-12-24 21:22:57,1766611377000,23.95,sensor:temperature
2025-12-24 21:23:04,1766611384000,23.95,sensor:temperature
2025-12-24 21:23:11,1766611391000,23.94,sensor:temperature
2025-12-24 21:23:18,1766611398000,23.91,sensor:temperature
2025-12-24 21:23:25,1766611405000,23.89,sensor:temperature
2025-12-24 21:23:32,1766611412000,23.89,sensor:temperature
2025-12-24 21:23:40,1766611420000,23.89,sensor:temperature
2025-12-24 21:23:47,1766611427000,23.95,sensor:temperature
2025-12-24 21:23:54,1766611434000,23.97,sensor:temperature
2025-12-24 21:24:00,1766611440000,23.98,sensor:temperature
2025-12-24 21:24:07,1766611447000,23.98,sensor:temperature
2025-12-24 21:24:13,1766611453000,24.01,sensor:temperature
2025-12-24 21:24:20,1766611460000,23.99,sensor:temperature
2025-12-24 21:24:27,1766611467000,23.96,sensor:temperature
2025-12-24 21:24:34,1766611474000,23.92,sensor:temperature
2025-12-24 21:24:40,1766611480000,23.92,sensor:temperature
2025-12-24 21:24:46,1766611486000,23.89,sensor:temperature
2025-12-24 21:24:53,1766611493000,23.87,sensor:temperature
2025-12-24 21:25:00,1766611500000,23.85,sensor:temperature
2025-12-24 21:25:07,1766611507000,23.85,sensor:temperature
2025-12-24 21:25:13,1766611513000,23.87,sensor:temperature
2025-12-24 21:25:23,1766611523000,23.88,sensor:temperature
2025-12-24 21:25:29,1766611529000,23.87,sensor:temperature
2025-12-24 21:25:35,1766611535000,23.88,sensor:temperature
2025-12-24 21:25:42,1766611542000,23.9,sensor:temperature
2025-12-24 21:25:48,1766611548000,23.92,sensor:temperature
2025-12-24 21:25:55,1766611555000,23.91,sensor:temperature
2025-12-24 21:26:01,1766611561000,23.88,sensor:temperature
2025-12-24 21:26:08,1766611568000,23.86,sensor:temperature
2025-12-24 21:26:14,1766611574000,23.85,sensor:temperature
2025-12-24 21:26:21,1766611581000,23.83,sensor:temperature
2025-12-24 21:26:27,1766611587000,23.82,sensor:temperature
2025-12-24 21:26:34,1766611594000,23.84,sensor:temperature
2025-12-24 21:26:41,1766611601000,23.83,sensor:temperature
2025-12-24 21:26:47,1766611607000,23.82,sensor:temperature
2025-12-24 21:26:53,1766611613000,23.83,sensor:temperature
