timestamp_ms,datetime,value,sensor
1766604352000,2025-12-24 21:25:52.000000,24.19,sensor:temperature
1766604359000,2025-12-24 21:25:59.000000,24.19,sensor:temperature
1766604367000,2025-12-24 21:26:07.000000,24.19,sensor:temperature
1766604374000,2025-12-24 21:26:14.000000,24.19,sensor:temperature
1766604381000,2025-12-24 21:26:21.000000,24.2,sensor:temperature
1766604387000,2025-12-24 21:26:27.000000,24.2,sensor:temperature
1766604395000,2025-12-24 21:26:35.000000,24.2,sensor:temperature
1766604401000,2025-12-24 21:26:41.000000,24.2,sensor:temperature
1766604408000,2025-12-24 21:26:48.000000,24.2,sensor:temperature
1766604415000,2025-12-24 21:26:55.000000,24.18,sensor:temperature
1766604422000,2025-12-24 21:27:02.000000,24.18,sensor:temperature
1766604429000,2025-12-24 21:27:09.000000,24.16,sensor:temperature
1766604435000,2025-12-24 21:27:15.000000,24.17,sensor:temperature
1766604441000,2025-12-24 21:27:21.000000,24.16,sensor:temperature
1766604447000,2025-12-24 21:27:27.000000,24.14,sensor:temperature
1766604454000,2025-12-24 21:27:34.000000,24.15,sensor:temperature
1766604461000,2025-12-24 21:27:41.000000,24.14,sensor:temperature
1766604468000,2025-12-24 21:27:48.000000,24.13,sensor:temperature
1766604474000,2025-12-24 21:27:54.000000,24.12,sensor:temperature
1766604481000,2025-12-24 21:28:01.000000,24.12,sensor:temperature
1766604488000,2025-12-24 21:28:08.000000,24.09,sensor:temperature
1766604494000,2025-12-24 21:28:14.000000,24.1,sensor:temperature
1766604501000,2025-12-24 21:28:21.000000,24.11,sensor:temperature
1766604508000,2025-12-24 21:28:28.000000,24.12,sensor:temperature
1766604514000,2025-12-24 21:28:34.000000,24.11,sensor:temperature
1766604521000,2025-12-24 21:28:41.000000,24.11,sensor:temperature
1766604528000,2025-12-24 21:28:48.000000,24.11,sensor:temperature
1766604535000,2025-12-24 21:28:55.000000,24.12,sensor:temperature
1766604540000,2025-12-24 21:29:00.000000,24.11,sensor:temperature
1766604546000,2025-12-24 21:29:06.000000,24.11,sensor:temperature
1766604552000,2025-12-24 21:29:12.000000,24.12,sensor:temperature
1766604558000,2025-12-24 21:29:18.000000,24.13,sensor:temperature
1766604565000,2025-12-24 21:29:25.000000,24.14,sensor:temperature
1766604572000,2025-12-24 21:29:32.000000,24.14,sensor:temperature
1766604578000,2025-12-24 21:29:38.000000,24.14,sensor:temperature
1766604585000,2025-12-24 21:29:45.000000,24.14,sensor:temperature
1766604591000,2025-12-24 21:29:51.000000,24.13,sensor:temperature
1766604598000,2025-12-24 21:29:58.000000,24.13,sensor:temperature
1766604604000,2025-12-24 21:30:04.000000,24.14,sensor:temperature
1766604611000,2025-12-24 21:30:11.000000,24.15,sensor:temperature
1766604618000,2025-12-24 21:30:18.000000,24.16,sensor:temperature
1766604625000,2025-12-24 21:30:25.000000,24.15,sensor:temperature
1766604631000,2025-12-24 21:30:31.000000,24.15,sensor:temperature
1766604637000,2025-12-24 21:30:37.000000,24.13,sensor:temperature
1766604644000,2025-12-24 21:30:44.000000,24.12,sensor:temperature
1766604651000,2025-12-24 21:30:51.000000,24.13,sensor:temperature
1766604658000,2025-12-24 21:30:58.000000,24.1,sensor:temperature
1766604664000,2025-12-24 21:31:04.000000,24.11,sensor:temperature
1766604670000,2025-12-24 21:31:10.000000,24.08,sensor:temperature
1766604676000,2025-12-24 21:31:16.000000,24.09,sensor:temperature
1766604683000,2025-12-24 21:31:23.000000,24.09,sensor:temperature
1766604689000,2025-12-24 21:31:29.000000,24.08,sensor:temperature
1766604696000,2025-12-24 21:31:36.000000,24.08,sensor:temperature
1766604702000,2025-12-24 21:31:42.000000,24.06,sensor:temperature
1766604709000,2025-12-24 21:31:49.000000,24.06,sensor:temperature
1766604716000,2025-12-24 21:31:56.000000,24.06,sensor:temperature
1766604722000,2025-12-24 21:32:02.000000,24.04,sensor:temperature
1766604730000,2025-12-24 21:32:10.000000,24.03,sensor:temperature
1766604737000,2025-12-24 21:32:17.000000,24.03,sensor:temperature
1766604743000,2025-12-24 21:32:23.000000,24.02,sensor:temperature
1766604749000,2025-12-24 21:32:29.000000,24.02,sensor:temperature
1766604756000,2025-12-24 21:32:36.000000,24.01,sensor:temperature
1766604763000,2025-12-24 21:32:43.000000,24.01,sensor:temperature
1766604770000,2025-12-24 21:32:50.000000,24.02,sensor:temperature
1766604776000,2025-12-24 21:32:56.000000,24.01,sensor:temperature
1766604783000,2025-12-24 21:33:03.000000,24.01,sensor:temperature
1766604789000,2025-12-24 21:33:09.000000,24.03,sensor:temperature
1766604796000,2025-12-24 21:33:16.000000,24.02,sensor:temperature
1766604803000,2025-12-24 21:33:23.000000,24.03,sensor:temperature
1766604810000,2025-12-24 21:33:30.000000,24.02,sensor:temperature
1766604817000,2025-12-24 21:33:37.000000,24.02,sensor:temperature
1766604823000,2025-12-24 21:33:43.000000,24.03,sensor:temperature
1766604830000,2025-12-24 21:33:50.000000,24.02,sensor:temperature
1766604837000,2025-12-24 21:33:57.000000,24.01,sensor:temperature
1766604844000,2025-12-24 21:34:04.000000,24.01,sensor:temperature
1766604851000,2025-12-24 21:34:11.000000,24,sensor:temperature
1766604858000,2025-12-24 21:34:18.000000,23.99,sensor:temperature
1766604865000,2025-12-24 21:34:25.000000,23.99,sensor:temperature
1766604871000,2025-12-24 21:34:31.000000,24,sensor:temperature
1766604878000,2025-12-24 21:34:38.000000,24,sensor:temperature
1766604885000,2025-12-24 21:34:45.000000,23.98,sensor:temperature
1766604891000,2025-12-24 21:34:51.000000,23.98,sensor:temperature
1766604898000,2025-12-24 21:34:58.000000,23.97,sensor:temperature
1766604905000,2025-12-24 21:35:05.000000,23.97,sensor:temperature
1766604911000,2025-12-24 21:35:11.000000,23.96,sensor:temperature
1766604918000,2025-12-24 21:35:18.000000,23.95,sensor:temperature
1766604925000,2025-12-24 21:35:25.000000,23.95,sensor:temperature
1766604932000,2025-12-24 21:35:32.000000,23.96,sensor:temperature
1766604938000,2025-12-24 21:35:38.000000,23.96,sensor:temperature
1766604945000,2025-12-24 21:35:45.000000,23.95,sensor:temperature
1766604952000,2025-12-24 21:35:52.000000,23.95,sensor:temperature
1766604958000,2025-12-24 21:35:58.000000,23.94,sensor:temperature
1766604965000,2025-12-24 21:36:05.000000,23.94,sensor:temperature
1766604972000,2025-12-24 21:36:12.000000,23.94,sensor:temperature
1766604979000,2025-12-24 21:36:19.000000,23.94,sensor:temperature
1766604986000,2025-12-24 21:36:26.000000,23.92,sensor:temperature
1766604993000,2025-12-24 21:36:33.000000,23.92,sensor:temperature
1766604999000,2025-12-24 21:36:39.000000,23.92,sensor:temperature
1766605006000,2025-12-24 21:36:46.000000,23.92,sensor:temperature
1766605012000,2025-12-24 21:36:52.000000,23.94,sensor:temperature
1766605020000,2025-12-24 21:37:00.000000,23.91,sensor:temperature
1766605026000,2025-12-24 21:37:06.000000,23.9,sensor:temperature
1766605032000,2025-12-24 21:37:12.000000,23.9,sensor:temperature
1766611321000,2025-12-24 23:22:01.000000,23.95,sensor:temperature
1766611327000,2025-12-24 23:22:07.000000,23.95,sensor:temperature
1766611350000,2025-12-24 23:22:30.000000,23.95,sensor:temperature
1766611359000,2025-12-24 23:22:39.000000,23.96,sensor:temperature
1766611365000,2025-12-24 23:22:45.000000,23.96,sensor:temperature
1766611371000,2025-12-24 23:22:51.000000,23.95,sensor:temperature
1766611377000,2025-12-24 23:22:57.000000,23.95,sensor:temperature
1766611384000,2025-12-24 23:23:04.000000,23.95,sensor:temperature
1766611391000,2025-12-24 23:23:11.000000,23.94,sensor:temperature
1766611398000,2025-12-24 23:23:18.000000,23.91,sensor:temperature
1766611405000,2025-12-24 23:23:25.000000,23.89,sensor:temperature
1766611412000,2025-12-24 23:23:32.000000,23.89,sensor:temperature
1766611420000,2025-12-24 23:23:40.000000,23.89,sensor:temperature
1766611427000,2025-12-24 23:23:47.000000,23.95,sensor:temperature
1766611434000,2025-12-24 23:23:54.000000,23.97,sensor:temperature
1766611440000,2025-12-24 23:24:00.000000,23.98,sensor:temperature
1766611447000,2025-12-24 23:24:07.000000,23.98,sensor:temperature
1766611453000,2025-12-24 23:24:13.000000,24.01,sensor:temperature
1766611460000,2025-12-24 23:24:20.000000,23.99,sensor:temperature
1766611467000,2025-12-24 23:24:27.000000,23.96,sensor:temperature
1766611474000,2025-12-24 23:24:34.000000,23.92,sensor:temperature
1766611480000,2025-12-24 23:24:40.000000,23.92,sensor:temperature
1766611486000,2025-12-24 23:24:46.000000,23.89,sensor:temperature
1766611493000,2025-12-24 23:24:53.000000,23.87,sensor:temperature
1766611500000,2025-12-24 23:25:00.000000,23.85,sensor:temperature
1766611507000,2025-12-24 23:25:07.000000,23.85,sensor:temperature
1766611513000,2025-12-24 23:25:13.000000,23.87,sensor:temperature
1766611523000,2025-12-24 23:25:23.000000,23.88,sensor:temperature
1766611529000,2025-12-24 23:25:29.000000,23.87,sensor:temperature
1766611535000,2025-12-24 23:25:35.000000,23.88,sensor:temperature
1766611542000,2025-12-24 23:25:42.000000,23.9,sensor:temperature
1766611548000,2025-12-24 23:25:48.000000,23.92,sensor:temperature
1766611555000,2025-12-24 23:25:55.000000,23.91,sensor:temperature
1766611561000,2025-12-24 23:26:01.000000,23.88,sensor:temperature
1766611568000,2025-12-24 23:26:08.000000,23.86,sensor:temperature
1766611574000,2025-12-24 23:26:14.000000,23.85,sensor:temperature
1766611581000,2025-12-24 23:26:21.000000,23.83,sensor:temperature
1766611587000,2025-12-24 23:26:27.000000,23.82,sensor:temperature
1766611594000,2025-12-24 23:26:34.000000,23.84,sensor:temperature
1766611601000,2025-12-24 23:26:41.000000,23.83,sensor:temperature
1766611607000,2025-12-24 23:26:47.000000,23.82,sensor:temperature
1766611613000,2025-12-24 23:26:53.000000,23.83,sensor:temperature
1766611619000,2025-12-24 23:26:59.000000,23.82,sensor:temperature
1766611626000,2025-12-24 23:27:06.000000,23.82,sensor:temperature
1766611633000,2025-12-24 23:27:13.000000,23.82,sensor:temperature
1766611640000,2025-12-24 23:27:20.000000,23.83,sensor:temperature
1766611647000,2025-12-24 23:27:27.000000,23.86,sensor:temperature
1766611653000,2025-12-24 23:27:33.000000,23.87,sensor:temperature
1766611660000,2025-12-24 23:27:40.000000,23.9,sensor:temperature
1766611666000,2025-12-24 23:27:46.000000,23.9,sensor:temperature
